sourceUrl,canonicalUrl,sourcePath,canonicalPath,pageType,needsRedirect,trailingSlashExpected
https://nordpush.de/,https://nordpush.de/,/,/,homepage,False,True
https://nordpush.de/agentur/,https://nordpush.de/agentur/,/agentur/,/agentur/,blog_or_other,False,True
https://nordpush.de/b2b-seo-agentur/,https://nordpush.de/b2b-seo-agentur/,/b2b-seo-agentur/,/b2b-seo-agentur/,service,False,True
https://nordpush.de/backlinks/,https://nordpush.de/backlinks/,/backlinks/,/backlinks/,service,False,True
https://nordpush.de/category/wissen/,https://nordpush.de/category/wissen/,/category/wissen/,/category/wissen/,blog_category,False,True
https://nordpush.de/content-marketing/,https://nordpush.de/content-marketing/,/content-marketing/,/content-marketing/,service,False,True
https://nordpush.de/content-templates/,https://nordpush.de/content-templates/,/content-templates/,/content-templates/,service,False,True
https://nordpush.de/datenschutz/,https://nordpush.de/datenschutz/,/datenschutz/,/datenschutz/,info_legal_or_conversion,False,True
https://nordpush.de/e-commerce-seo/,https://nordpush.de/e-commerce-seo/,/e-commerce-seo/,/e-commerce-seo/,service,False,True
https://nordpush.de/etsy-seo/,https://nordpush.de/etsy-seo/,/etsy-seo/,/etsy-seo/,service,False,True
https://nordpush.de/geo-optimierung/,https://nordpush.de/geo-optimierung/,/geo-optimierung/,/geo-optimierung/,service,False,True
https://nordpush.de/google-unternehmensprofil/,https://nordpush.de/google-unternehmensprofil/,/google-unternehmensprofil/,/google-unternehmensprofil/,service,False,True
https://nordpush.de/impressum/,https://nordpush.de/impressum/,/impressum/,/impressum/,info_legal_or_conversion,False,True
https://nordpush.de/internationales-seo/,https://nordpush.de/internationales-seo/,/internationales-seo/,/internationales-seo/,service,False,True
https://nordpush.de/keyword-recherche/,https://nordpush.de/keyword-recherche/,/keyword-recherche/,/keyword-recherche/,service,False,True
https://nordpush.de/kontakt/,https://nordpush.de/kontakt/,/kontakt/,/kontakt/,info_legal_or_conversion,False,True
https://nordpush.de/link-risk-management/,https://nordpush.de/link-risk-management/,/link-risk-management/,/link-risk-management/,service,False,True
https://nordpush.de/pagespeed-optimierung/,https://nordpush.de/pagespeed-optimierung/,/pagespeed-optimierung/,/pagespeed-optimierung/,service,False,True
https://nordpush.de/preise/,https://nordpush.de/preise/,/preise/,/preise/,info_legal_or_conversion,False,True
https://nordpush.de/seo-audit/,https://nordpush.de/seo-audit/,/seo-audit/,/seo-audit/,service,False,True
https://nordpush.de/seo-bamberg/,https://nordpush.de/seo-bamberg/,/seo-bamberg/,/seo-bamberg/,local_seo,False,True
https://nordpush.de/seo-beratung/,https://nordpush.de/seo-beratung/,/seo-beratung/,/seo-beratung/,service,False,True
https://nordpush.de/seo-betreuung/,https://nordpush.de/seo-betreuung/,/seo-betreuung/,/seo-betreuung/,service,False,True
https://nordpush.de/seo-fuer-lokale-unternehmen/,https://nordpush.de/seo-fuer-lokale-unternehmen/,/seo-fuer-lokale-unternehmen/,/seo-fuer-lokale-unternehmen/,service,False,True
https://nordpush.de/seo-konkurrenzanalyse/,https://nordpush.de/seo-konkurrenzanalyse/,/seo-konkurrenzanalyse/,/seo-konkurrenzanalyse/,service,False,True
https://nordpush.de/seo-monitoring/,https://nordpush.de/seo-monitoring/,/seo-monitoring/,/seo-monitoring/,service,False,True
https://nordpush.de/seo-neumuenster/,https://nordpush.de/seo-neumuenster/,/seo-neumuenster/,/seo-neumuenster/,local_seo,False,True
https://nordpush.de/seo-relaunch/,https://nordpush.de/seo-relaunch/,/seo-relaunch/,/seo-relaunch/,service,False,True
https://nordpush.de/seo-sachsen/,https://nordpush.de/seo-sachsen/,/seo-sachsen/,/seo-sachsen/,local_seo,False,True
https://nordpush.de/seo-strategie/,https://nordpush.de/seo-strategie/,/seo-strategie/,/seo-strategie/,service,False,True
https://nordpush.de/seo-texte-schreiben/,https://nordpush.de/seo-texte-schreiben/,/seo-texte-schreiben/,/seo-texte-schreiben/,service,False,True
https://nordpush.de/suchmaschinenoptimierung/,https://nordpush.de/suchmaschinenoptimierung/,/suchmaschinenoptimierung/,/suchmaschinenoptimierung/,blog_or_other,False,True
https://nordpush.de/technisches-seo-audit/,https://nordpush.de/technisches-seo-audit/,/technisches-seo-audit/,/technisches-seo-audit/,service,False,True
https://nordpush.de/ueber-uns/,https://nordpush.de/ueber-uns/,/ueber-uns/,/ueber-uns/,about_or_author,False,True
https://nordpush.de/wordpress-seo/,https://nordpush.de/wordpress-seo/,/wordpress-seo/,/wordpress-seo/,service,False,True
